{'t': '26.50', 'h': '53.10', 'time': '1657534264.81'}
{'t': '26.50', 'h': '52.80', 'time': '1657534269.94'}
{'t': '26.50', 'h': '52.60', 'time': '1657534275.06'}
{'t': '26.50', 'h': '52.60', 'time': '1657534280.18'}
{'t': '26.50', 'h': '52.80', 'time': '1657534285.3'}
{'t': '26.50', 'h': '52.60', 'time': '1657534290.42'}
{'t': '26.50', 'h': '52.20', 'time': '1657534295.54'}
{'t': '26.50', 'h': '52.30', 'time': '1657534300.66'}
{'t': '26.50', 'h': '52.70', 'time': '1657534305.78'}
{'t': '26.50', 'h': '52.80', 'time': '1657534310.9'}
{'t': '26.50', 'h': '52.70', 'time': '1657534316.02'}
{'t': '26.50', 'h': '52.70', 'time': '1657534321.14'}
{'t': '26.50', 'h': '52.70', 'time': '1657534326.26'}
{'t': '26.50', 'h': '52.80', 'time': '1657534331.49'}
{'t': '26.50', 'h': '52.80', 'time': '1657534336.6'}
{'t': '26.50', 'h': '52.40', 'time': '1657534341.72'}
{'t': '26.50', 'h': '52.40', 'time': '1657534346.84'}
{'t': '26.50', 'h': '52.50', 'time': '1657534351.96'}
{'t': '26.50', 'h': '52.50', 'time': '1657534357.08'}
{'t': '26.50', 'h': '52.10', 'time': '1657534362.2'}
{'t': '26.50', 'h': '51.90', 'time': '1657534367.43'}
{'t': '26.50', 'h': '51.80', 'time': '1657534372.55'}
{'t': '26.50', 'h': '52.30', 'time': '1657534377.66'}
{'t': '26.50', 'h': '52.30', 'time': '1657534382.78'}
{'t': '26.50', 'h': '52.40', 'time': '1657534387.9'}
{'t': '26.50', 'h': '52.40', 'time': '1657534393.03'}
{'t': '26.50', 'h': '52.20', 'time': '1657534398.15'}
{'t': '26.50', 'h': '52.20', 'time': '1657534403.27'}
{'t': '26.50', 'h': '52.30', 'time': '1657534408.38'}
{'t': '26.50', 'h': '52.30', 'time': '1657534413.5'}
{'t': '26.50', 'h': '52.20', 'time': '1657534418.62'}
{'t': '26.50', 'h': '52.50', 'time': '1657534423.74'}
{'t': '26.50', 'h': '52.40', 'time': '1657534428.86'}
{'t': '26.50', 'h': '52.60', 'time': '1657534433.98'}
{'t': '26.50', 'h': '52.40', 'time': '1657534439.1'}
{'t': '26.50', 'h': '52.30', 'time': '1657534444.23'}
{'t': '26.50', 'h': '52.40', 'time': '1657534449.45'}
{'t': '26.50', 'h': '52.60', 'time': '1657534454.57'}
{'t': '26.50', 'h': '52.90', 'time': '1657534459.69'}
{'t': '26.50', 'h': '52.70', 'time': '1657534464.81'}
{'t': '26.50', 'h': '52.50', 'time': '1657534469.93'}
{'t': '26.50', 'h': '52.50', 'time': '1657534475.05'}
{'t': '26.50', 'h': '52.50', 'time': '1657534480.17'}
{'t': '26.50', 'h': '52.70', 'time': '1657534485.29'}
{'t': '26.50', 'h': '52.40', 'time': '1657534490.41'}
{'t': '26.50', 'h': '52.60', 'time': '1657534495.53'}
{'t': '26.50', 'h': '52.50', 'time': '1657534500.65'}
{'t': '26.50', 'h': '52.60', 'time': '1657534505.77'}
{'t': '26.50', 'h': '52.50', 'time': '1657534510.89'}
{'t': '26.50', 'h': '52.60', 'time': '1657534516.01'}
{'t': '26.50', 'h': '52.80', 'time': '1657534521.13'}
{'t': '26.50', 'h': '52.70', 'time': '1657534526.25'}
{'t': '26.50', 'h': '52.50', 'time': '1657534531.47'}
{'t': '26.50', 'h': '52.50', 'time': '1657534536.59'}
{'t': '26.50', 'h': '52.80', 'time': '1657534541.71'}
{'t': '26.50', 'h': '52.90', 'time': '1657534546.83'}
{'t': '26.50', 'h': '52.90', 'time': '1657534551.95'}
